city,date,pm2.5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,pm_ratio
Ahmedabad,2015-01-23,0.0,0.0,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0.0,5.95,0.0,,0.0
Ahmedabad,2015-01-24,0.0,0.0,2.03,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54,0.0,,0.0
Ahmedabad,2015-01-25,0.0,0.0,1.42,20.43,20.19,,1.42,58.41,39.26,0.01,0.0,0.94,0.0,,0.0
Ahmedabad,2015-01-26,0.0,0.0,2.27,21.16,21.81,,2.27,43.73,39.83,0.06,0.0,1.55,0.0,,0.0
Ahmedabad,2015-01-27,0.0,0.0,2.19,21.7,23.26,,2.19,43.28,41.1,0.02,0.0,1.65,0.0,,0.0
Ahmedabad,2015-01-28,73.24,0.0,5.72,21.11,25.84,,5.72,36.52,62.42,0.03,0.01,1.41,0.0,,732.3999999999999
Ahmedabad,2015-01-29,83.13,0.0,6.93,28.71,33.72,,6.93,49.52,59.76,0.02,0.0,3.14,209.0,Poor,831.3
Ahmedabad,2015-01-30,79.84,0.0,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0.0,4.81,328.0,Very Poor,798.4
Ahmedabad,2015-01-31,94.52,0.0,24.39,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67,514.0,Severe,945.1999999999999
Ahmedabad,2015-02-01,135.99,0.0,43.48,42.08,84.57,,43.48,75.23,102.7,0.4,0.04,25.87,782.0,Severe,1359.9
Ahmedabad,2015-02-02,178.33,0.0,54.56,35.31,72.8,,54.56,55.04,107.38,0.46,0.06,35.61,914.0,Severe,1783.3
Ahmedabad,2015-02-03,139.7,0.0,30.61,28.4,56.73,,30.61,33.79,73.6,0.17,0.03,11.87,660.0,Severe,1396.9999999999998
Ahmedabad,2015-02-04,80.65,0.0,2.37,22.83,24.0,,2.37,25.73,47.3,0.0,0.0,0.0,294.0,Poor,806.5
Ahmedabad,2015-02-05,58.36,0.0,2.6,21.39,23.31,,2.6,32.66,53.54,0.0,0.0,0.0,149.0,Moderate,583.5999999999999
Ahmedabad,2015-02-06,79.29,0.0,1.16,26.94,26.83,,1.16,67.41,59.3,0.0,0.0,0.0,190.0,Moderate,792.9
Ahmedabad,2015-02-07,88.7,0.0,7.29,31.32,37.73,,7.29,80.09,44.76,0.0,0.0,0.0,247.0,Poor,887.0
Ahmedabad,2015-02-08,74.28,0.0,8.92,27.3,33.42,,8.92,54.28,47.42,0.0,0.0,0.27,379.0,Very Poor,742.8
Ahmedabad,2015-02-09,113.93,0.0,4.32,24.27,26.86,,4.32,48.73,39.94,0.02,0.0,3.55,341.0,Very Poor,1139.3
Ahmedabad,2015-02-10,105.39,0.0,1.41,18.21,18.75,,1.41,35.91,56.15,0.0,0.0,3.31,256.0,Poor,1053.8999999999999
Ahmedabad,2015-02-11,66.52,0.0,6.34,23.8,28.24,,6.34,66.58,53.14,9.7,9.63,16.49,388.0,Very Poor,665.1999999999999
Ahmedabad,2015-02-12,65.04,0.0,14.19,30.1,44.21,,14.19,65.91,31.88,7.72,17.46,2.51,288.0,Poor,650.4
Ahmedabad,2015-02-13,103.36,0.0,18.18,39.56,57.33,,18.18,80.43,40.11,11.29,24.35,3.35,510.0,Severe,1033.6
Ahmedabad,2015-02-14,177.33,0.0,37.49,47.58,77.85,,37.49,99.72,36.47,17.0,52.66,6.98,761.0,Severe,1773.3
Ahmedabad,2015-02-15,113.25,0.0,15.55,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22,475.0,Severe,1132.5
Ahmedabad,2015-02-16,99.7,0.0,19.85,28.1,47.31,,19.85,73.23,30.57,10.28,31.25,4.0,536.0,Severe,997.0
Ahmedabad,2015-02-17,80.61,0.0,15.96,21.04,35.67,,15.96,54.7,36.2,8.14,18.75,2.52,479.0,Severe,806.0999999999999
Ahmedabad,2015-02-18,100.79,0.0,16.24,25.93,41.91,,16.24,43.11,37.43,10.0,32.41,4.04,592.0,Severe,1007.9
Ahmedabad,2015-02-19,107.99,0.0,11.25,30.09,40.47,,11.25,84.86,31.94,9.2,24.03,3.25,427.0,Severe,1079.8999999999999
Ahmedabad,2015-02-20,140.29,0.0,33.84,36.14,68.85,,33.84,101.53,40.98,20.12,43.51,7.48,588.0,Severe,1402.8999999999999
Ahmedabad,2015-02-21,239.96,0.0,61.95,46.25,106.92,,61.95,84.87,33.55,22.14,53.98,15.44,1141.0,Severe,2399.6
Ahmedabad,2015-02-22,142.96,0.0,45.45,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47,669.0,Severe,1429.6
Ahmedabad,2015-02-23,238.41,0.0,77.7,55.07,131.32,,77.7,89.07,37.3,50.61,163.64,28.46,1247.0,Severe,2384.1
Ahmedabad,2015-02-24,118.72,0.0,12.56,32.01,42.56,,12.56,61.54,38.8,16.89,46.52,6.05,411.0,Severe,1187.1999999999998
Ahmedabad,2015-02-25,52.99,0.0,2.23,10.45,10.39,,2.23,32.76,67.25,3.85,11.39,0.81,292.0,Poor,529.9
Ahmedabad,2015-02-26,0.0,0.0,,,,,,,,,,,0.0,,0.0
Ahmedabad,2015-02-27,0.0,0.0,,,,,,,,,,,0.0,,0.0
Ahmedabad,2015-02-28,0.0,0.0,,,,,,,,,,,0.0,,0.0
Ahmedabad,2015-03-01,61.12,0.0,3.58,16.81,20.92,,3.58,28.44,30.48,2.69,1.58,1.32,0.0,,611.1999999999999
Ahmedabad,2015-03-02,60.78,0.0,9.07,18.21,27.34,,9.07,29.48,34.75,2.05,0.55,0.22,189.0,Moderate,607.8
Ahmedabad,2015-03-03,91.83,0.0,12.99,28.71,40.76,,12.99,39.71,38.46,2.69,1.74,2.25,408.0,Severe,918.3
Ahmedabad,2015-03-04,93.88,0.0,18.21,29.38,47.01,,18.21,62.75,46.79,5.21,2.55,1.55,383.0,Very Poor,938.8
Ahmedabad,2015-03-05,173.01,0.0,48.44,42.27,90.73,,48.44,78.76,59.39,9.72,9.96,4.13,780.0,Severe,1730.1
Ahmedabad,2015-03-06,0.0,0.0,,,,,,,,,,,0.0,,0.0
Ahmedabad,2015-03-07,105.45,0.0,2.5,16.1,18.66,,2.5,29.29,69.9,17.77,5.75,0.39,0.0,,1054.5
Ahmedabad,2015-03-08,71.56,0.0,3.51,16.83,20.32,,3.51,30.28,57.16,3.95,8.01,0.63,190.0,Moderate,715.6
Ahmedabad,2015-03-09,119.8,0.0,4.13,24.07,27.9,,4.13,50.35,50.49,4.85,12.15,1.35,233.0,Poor,1198.0
Ahmedabad,2015-03-10,106.71,0.0,5.39,25.59,30.51,,5.39,38.85,60.17,5.58,14.17,1.74,297.0,Poor,1067.1
Ahmedabad,2015-03-11,118.49,0.0,4.11,28.94,31.83,,4.11,54.2,53.61,7.9,21.32,2.78,330.0,Very Poor,1184.8999999999999
Ahmedabad,2015-03-12,106.01,0.0,4.28,27.31,30.54,,4.28,70.29,40.91,9.45,15.54,1.71,252.0,Poor,1060.1
Ahmedabad,2015-03-13,97.34,0.0,3.67,21.58,24.62,,3.67,64.39,45.69,5.61,15.02,2.25,244.0,Poor,973.4
Ahmedabad,2015-03-14,83.92,0.0,6.42,25.03,30.8,,6.42,67.53,34.94,8.24,21.47,3.09,234.0,Poor,839.1999999999999
Ahmedabad,2015-03-15,49.51,0.0,3.1,14.16,16.15,,3.1,48.33,37.95,4.34,11.34,1.09,219.0,Poor,495.09999999999997
Ahmedabad,2015-03-16,30.76,0.0,2.72,14.14,16.98,,2.72,43.62,54.78,3.58,9.38,0.84,118.0,Moderate,307.6
Ahmedabad,2015-03-17,50.29,0.0,5.34,29.84,33.28,,5.34,59.23,45.44,5.45,15.12,1.65,231.0,Poor,502.9
Ahmedabad,2015-03-18,57.69,0.0,25.36,29.48,54.79,,25.36,58.33,52.87,9.55,32.11,4.53,286.0,Poor,576.9
Ahmedabad,2015-03-19,105.06,0.0,46.24,37.05,82.23,,46.24,53.62,45.65,20.89,75.36,12.7,883.0,Severe,1050.6
Ahmedabad,2015-03-20,94.1,0.0,22.14,36.53,57.49,,22.14,61.31,46.77,17.5,52.01,7.9,720.0,Severe,940.9999999999999
Ahmedabad,2015-03-21,111.89,0.0,22.25,43.29,64.53,,22.25,66.44,50.57,18.03,56.86,8.86,570.0,Severe,1118.8999999999999
Ahmedabad,2015-03-22,108.59,0.0,25.38,39.34,63.01,,25.38,75.8,46.68,15.78,48.41,7.07,589.0,Severe,1085.8999999999999
Ahmedabad,2015-03-23,130.76,0.0,45.61,41.03,85.76,,45.61,65.77,41.58,24.12,85.31,12.56,818.0,Severe,1307.6
Ahmedabad,2015-03-24,143.55,0.0,27.3,31.15,57.16,,27.3,50.98,35.38,18.61,72.78,10.15,737.0,Severe,1435.5
Ahmedabad,2015-03-25,165.07,0.0,23.83,34.48,57.71,,23.83,64.32,43.79,29.14,64.01,8.51,585.0,Severe,1650.6999999999998
Ahmedabad,2015-03-26,166.85,0.0,17.93,43.3,60.07,,17.93,79.71,53.44,24.09,67.38,9.76,616.0,Severe,1668.4999999999998
Ahmedabad,2015-03-27,147.38,0.0,6.4,35.82,40.22,,6.4,46.89,17.94,14.23,41.88,5.7,437.0,Severe,1473.8
Ahmedabad,2015-03-28,158.25,0.0,5.86,27.89,32.65,,5.86,142.36,38.54,13.67,21.24,2.83,321.0,Very Poor,1582.5
Ahmedabad,2015-03-29,237.76,0.0,4.99,21.8,25.37,,4.99,96.28,39.77,8.68,14.95,1.28,372.0,Very Poor,2377.6
Ahmedabad,2015-03-30,133.37,0.0,3.88,17.99,21.02,,3.88,57.34,39.66,5.76,11.74,1.04,339.0,Very Poor,1333.7
Ahmedabad,2015-03-31,133.3,0.0,6.52,20.0,26.18,,6.52,51.58,59.03,9.94,21.13,2.31,339.0,Very Poor,1333.0
Ahmedabad,2015-04-01,96.04,0.0,3.8,20.07,23.46,,3.8,62.42,46.61,7.54,13.44,1.65,324.0,Very Poor,960.4
Ahmedabad,2015-04-02,77.69,0.0,5.24,18.87,23.06,,5.24,100.48,27.14,9.49,11.77,1.6,222.0,Poor,776.9
Ahmedabad,2015-04-03,53.07,0.0,4.17,13.82,17.45,,4.17,40.36,21.76,4.47,6.94,0.42,169.0,Moderate,530.6999999999999
Ahmedabad,2015-04-04,63.11,0.0,5.63,15.5,18.49,,5.63,38.21,4.72,5.2,8.17,0.73,220.0,Poor,631.0999999999999
Ahmedabad,2015-04-05,156.76,0.0,3.92,16.7,20.97,,3.92,26.32,37.11,3.88,10.78,0.97,0.0,,1567.6
Ahmedabad,2015-04-06,120.96,0.0,4.23,20.86,25.02,,4.23,35.54,35.66,6.05,15.85,1.68,303.0,Very Poor,1209.6
Ahmedabad,2015-04-07,138.63,0.0,5.65,25.47,30.67,,5.65,87.43,29.77,11.25,24.67,3.12,314.0,Very Poor,1386.3
Ahmedabad,2015-04-08,144.36,0.0,15.82,30.69,46.1,,15.82,66.39,27.34,17.22,49.56,7.71,378.0,Very Poor,1443.6000000000001
Ahmedabad,2015-04-09,85.03,0.0,3.3,26.7,27.41,,3.3,59.16,35.89,7.58,29.19,4.08,415.0,Severe,850.3
Ahmedabad,2015-04-10,134.6,0.0,5.9,26.27,28.7,,5.9,34.53,7.0,0.0,0.0,0.0,0.0,,1345.9999999999998
Ahmedabad,2015-04-11,61.06,0.0,3.52,14.03,17.59,,3.52,8.08,19.54,0.0,0.0,0.01,126.0,Moderate,610.6
Ahmedabad,2015-04-12,39.42,0.0,5.28,19.56,24.66,,5.28,17.66,31.3,0.0,0.0,0.0,175.0,Moderate,394.2
Ahmedabad,2015-04-13,111.86,0.0,3.89,22.51,25.17,,3.89,15.84,31.23,0.0,0.0,0.0,226.0,Poor,1118.6
Ahmedabad,2015-04-14,58.37,0.0,5.74,21.71,27.69,,5.74,25.9,43.92,2.15,10.46,5.4,244.0,Poor,583.6999999999999
Ahmedabad,2015-04-15,95.37,0.0,18.01,26.23,44.34,,18.01,13.59,41.64,1.21,3.28,20.78,315.0,Very Poor,953.7
Ahmedabad,2015-04-16,141.3,0.0,30.8,36.88,66.53,,30.8,41.06,37.66,0.66,0.01,28.13,678.0,Severe,1413.0
Ahmedabad,2015-04-17,106.68,0.0,19.91,46.38,54.77,,19.91,31.56,48.49,1.67,0.0,15.95,774.0,Severe,1066.8
Ahmedabad,2015-04-18,109.48,0.0,4.3,20.27,22.86,,4.3,46.6,31.34,0.05,0.0,6.19,285.0,Poor,1094.8
Ahmedabad,2015-04-19,126.04,0.0,6.99,20.18,26.78,,6.99,79.56,28.71,0.2,0.0,6.4,321.0,Very Poor,1260.4
Ahmedabad,2015-04-20,71.22,0.0,16.73,21.32,37.58,,16.73,50.09,28.39,1.38,23.54,6.09,358.0,Very Poor,712.1999999999999
Ahmedabad,2015-04-21,97.87,0.0,6.3,17.96,23.45,,6.3,13.85,34.16,0.21,4.91,2.95,357.0,Very Poor,978.7
Ahmedabad,2015-04-22,63.38,0.0,3.44,13.28,15.44,,3.44,24.79,43.62,0.0,0.0,1.23,189.0,Moderate,633.8
Ahmedabad,2015-04-23,75.29,0.0,3.35,14.29,17.97,,3.35,76.05,60.71,0.0,0.01,2.27,0.0,,752.9
Ahmedabad,2015-04-24,80.9,0.0,5.7,18.62,24.23,,5.7,65.44,22.8,0.05,0.09,3.46,214.0,Poor,809.0
Ahmedabad,2015-04-25,103.29,0.0,4.55,19.82,23.69,,4.55,85.42,22.18,0.06,1.17,2.58,253.0,Poor,1032.9
Ahmedabad,2015-04-26,107.5,0.0,5.29,15.56,19.73,,5.29,74.37,10.12,0.09,0.16,2.91,239.0,Poor,1075.0
Ahmedabad,2015-04-27,161.14,0.0,3.11,14.77,16.12,,3.11,118.35,59.73,0.0,2.55,0.0,0.0,,1611.3999999999999
Ahmedabad,2015-04-28,102.58,0.0,3.88,12.74,16.82,,3.88,41.94,26.89,0.02,6.4,0.76,0.0,,1025.8
Ahmedabad,2015-04-29,138.42,0.0,5.05,16.7,21.56,,5.05,77.74,27.18,0.01,0.88,2.01,300.0,Poor,1384.1999999999998
Ahmedabad,2015-04-30,129.04,0.0,5.69,14.86,19.66,,5.69,78.27,18.67,0.0,0.0,1.54,317.0,Very Poor,1290.3999999999999
Ahmedabad,2015-05-01,96.65,0.0,4.67,15.9,20.53,,4.67,39.41,11.83,0.01,0.0,3.11,240.0,Poor,966.5
Ahmedabad,2015-05-02,126.77,0.0,15.69,23.93,39.73,,15.69,93.18,36.71,0.22,0.04,10.0,344.0,Very Poor,1267.6999999999998
Ahmedabad,2015-05-03,106.15,0.0,13.12,23.02,35.05,,13.12,65.95,81.6,0.3,0.02,9.69,503.0,Severe,1061.5
Ahmedabad,2015-05-04,86.31,0.0,2.69,10.5,10.9,,2.69,50.13,90.54,0.47,0.15,12.8,308.0,Very Poor,863.1
Ahmedabad,2015-05-05,83.99,0.0,2.73,0.08,2.75,,2.73,34.06,69.57,0.28,0.05,8.97,227.0,Poor,839.8999999999999
Ahmedabad,2015-05-06,65.11,0.0,3.14,4.58,6.75,,3.14,22.27,32.26,0.17,0.04,5.84,120.0,Moderate,651.0999999999999
Ahmedabad,2015-05-07,51.03,0.0,6.24,20.47,26.2,,6.24,15.5,31.44,0.0,0.0,1.29,158.0,Moderate,510.3
Ahmedabad,2015-05-08,38.73,0.0,8.0,19.28,26.61,,8.0,20.13,25.7,0.0,0.0,2.08,177.0,Moderate,387.29999999999995
Ahmedabad,2015-05-09,61.12,0.0,9.94,17.82,27.18,,9.94,39.69,25.9,0.0,0.0,3.49,201.0,Poor,611.1999999999999
Ahmedabad,2015-05-10,58.44,0.0,10.68,17.24,27.38,,10.68,54.69,18.89,0.0,0.0,1.39,211.0,Poor,584.4
Ahmedabad,2015-05-11,61.49,0.0,11.44,16.69,27.61,,11.44,42.66,18.2,0.01,0.0,2.59,221.0,Poor,614.9
Ahmedabad,2015-05-12,65.39,0.0,12.3,16.08,27.86,,12.3,27.96,22.35,0.0,0.0,2.29,233.0,Poor,653.9
Ahmedabad,2015-05-13,100.92,0.0,20.42,18.9,37.83,,20.42,31.9,22.84,4.9,19.26,8.21,481.0,Severe,1009.1999999999999
Ahmedabad,2015-05-14,97.48,0.0,5.31,30.02,33.62,,5.31,36.05,16.26,10.6,34.91,3.85,352.0,Very Poor,974.8
Ahmedabad,2015-05-15,129.27,0.0,14.28,28.33,41.92,,14.28,70.13,25.4,16.9,44.19,4.97,327.0,Very Poor,1292.7
Ahmedabad,2015-05-16,129.58,0.0,21.23,28.79,45.4,,21.23,17.66,34.42,20.53,85.73,11.56,577.0,Severe,1295.8
Ahmedabad,2015-05-17,100.57,0.0,7.56,18.79,24.33,,7.56,38.76,38.83,4.92,17.94,1.54,411.0,Severe,1005.6999999999999
Ahmedabad,2015-05-18,130.34,0.0,7.14,17.43,23.72,,7.14,52.07,29.05,5.05,14.0,1.3,212.0,Poor,1303.3999999999999
Ahmedabad,2015-05-19,53.24,0.0,8.05,15.86,23.34,,8.05,36.23,21.58,5.23,15.0,1.02,280.0,Poor,532.4
Ahmedabad,2015-05-20,42.0,0.0,10.44,18.16,21.8,,10.44,17.0,25.5,0.0,0.0,0.0,162.0,Moderate,420.0
Ahmedabad,2015-05-21,50.1,0.0,9.46,14.9,22.5,,9.46,30.67,12.91,0.41,1.89,1.44,0.0,,501.0
Ahmedabad,2015-05-22,83.69,0.0,10.89,17.18,27.15,,10.89,41.12,35.61,12.62,20.2,17.84,569.0,Severe,836.9
Ahmedabad,2015-05-23,38.88,0.0,2.18,16.28,17.74,,2.18,26.4,12.47,3.0,6.96,6.37,128.0,Moderate,388.8
Ahmedabad,2015-05-24,46.89,0.0,2.96,16.17,18.49,,2.96,41.96,10.74,3.41,8.87,3.53,129.0,Moderate,468.9
Ahmedabad,2015-05-25,70.96,0.0,4.12,15.47,19.28,,4.12,23.67,16.01,3.72,8.13,4.06,152.0,Moderate,709.5999999999999
Ahmedabad,2015-05-26,53.66,0.0,4.23,14.43,18.06,,4.23,14.46,45.64,2.39,6.4,3.53,176.0,Moderate,536.5999999999999
Ahmedabad,2015-05-27,45.49,0.0,4.26,13.73,17.1,,4.26,12.85,71.85,2.5,5.96,3.36,167.0,Moderate,454.9
Ahmedabad,2015-05-28,60.86,0.0,5.27,16.61,21.42,,5.27,14.91,41.19,3.03,9.18,6.54,106.0,Moderate,608.5999999999999
Ahmedabad,2015-05-29,51.93,0.0,13.71,17.87,31.64,,13.71,15.33,12.88,6.32,19.17,10.57,231.0,Poor,519.3
Ahmedabad,2015-05-30,77.87,0.0,6.67,17.12,23.0,,6.67,46.82,16.67,4.79,9.78,5.1,327.0,Very Poor,778.7
Ahmedabad,2015-05-31,57.59,0.0,5.6,15.47,20.42,,5.6,41.68,25.51,2.64,6.3,3.08,174.0,Moderate,575.9
Ahmedabad,2015-06-01,77.22,0.0,7.02,15.47,21.13,,7.02,71.97,9.56,3.74,8.45,1.17,185.0,Moderate,772.1999999999999
Ahmedabad,2015-06-02,45.29,0.0,7.25,12.74,19.66,,7.25,18.64,6.32,2.73,6.99,0.76,179.0,Moderate,452.9
Ahmedabad,2015-06-03,103.78,0.0,6.36,13.9,19.86,,6.36,7.76,15.27,0.82,1.37,0.81,211.0,Poor,1037.8
Ahmedabad,2015-06-04,25.14,0.0,6.01,18.73,24.74,,6.01,38.05,38.52,0.0,0.0,0.0,192.0,Moderate,251.4
Ahmedabad,2015-06-05,87.03,0.0,8.05,17.88,25.53,,8.05,23.84,48.22,0.0,0.0,0.0,310.0,Very Poor,870.3
Ahmedabad,2015-06-06,89.6,0.0,6.59,19.84,25.9,,6.59,48.05,44.78,0.0,0.0,0.0,223.0,Poor,895.9999999999999
Ahmedabad,2015-06-07,80.69,0.0,6.86,16.07,22.25,,6.86,39.85,32.65,0.0,0.0,0.0,192.0,Moderate,806.9
Ahmedabad,2015-06-08,44.75,0.0,7.76,16.53,24.29,,7.76,9.89,8.07,0.0,0.0,0.0,191.0,Moderate,447.5
Ahmedabad,2015-06-09,38.11,0.0,7.41,11.62,19.03,,7.41,3.13,6.69,2.5,5.93,0.74,184.0,Moderate,381.09999999999997
Ahmedabad,2015-06-10,45.5,0.0,8.56,15.59,24.15,,8.56,0.76,3.82,5.09,8.52,1.82,220.0,Poor,455.0
Ahmedabad,2015-06-11,36.98,0.0,8.21,11.52,19.74,,8.21,0.52,5.17,3.63,8.16,1.33,215.0,Poor,369.79999999999995
Ahmedabad,2015-06-12,43.58,0.0,8.26,13.33,21.58,,8.26,1.02,7.56,3.59,6.79,1.5,226.0,Poor,435.79999999999995
Ahmedabad,2015-06-13,45.49,0.0,9.63,14.91,24.53,,9.63,0.81,2.94,3.67,6.62,1.17,251.0,Poor,454.9
Ahmedabad,2015-06-14,38.06,0.0,8.67,18.57,27.25,,8.67,1.05,4.63,2.85,5.12,0.74,216.0,Poor,380.6
Ahmedabad,2015-06-15,45.41,0.0,9.35,20.55,29.9,,9.35,0.74,4.5,2.83,7.18,0.82,237.0,Poor,454.09999999999997
Ahmedabad,2015-06-16,37.71,0.0,8.54,16.26,24.8,,8.54,0.87,4.6,2.52,7.61,0.81,198.0,Moderate,377.09999999999997
Ahmedabad,2015-06-17,32.37,0.0,7.53,14.36,21.89,,7.53,2.17,12.17,1.88,7.92,0.69,195.0,Moderate,323.69999999999993
Ahmedabad,2015-06-18,34.74,0.0,7.59,13.51,21.11,,7.59,4.11,12.22,1.82,6.19,0.47,187.0,Moderate,347.4
Ahmedabad,2015-06-19,32.56,0.0,7.34,13.91,21.25,,7.34,4.04,11.85,2.55,9.3,0.97,181.0,Moderate,325.6
Ahmedabad,2015-06-20,29.28,0.0,7.55,11.68,19.23,,7.55,4.01,12.64,1.64,7.0,0.62,179.0,Moderate,292.8
Ahmedabad,2015-06-21,20.46,0.0,7.15,10.61,17.76,,7.15,5.62,12.7,1.26,5.17,0.32,188.0,Moderate,204.6
Ahmedabad,2015-06-22,26.07,0.0,7.99,11.07,19.06,,7.99,4.1,10.57,1.5,6.9,0.63,190.0,Moderate,260.7
Ahmedabad,2015-06-23,21.43,0.0,7.45,11.16,18.62,,7.45,4.99,7.38,1.4,6.69,0.76,185.0,Moderate,214.29999999999998
Ahmedabad,2015-06-24,11.91,0.0,7.34,10.1,17.44,,7.34,10.86,5.47,1.3,12.23,0.73,189.0,Moderate,119.1
Ahmedabad,2015-06-25,57.75,0.0,8.68,9.68,18.36,,8.68,12.28,3.06,1.98,6.51,0.74,196.0,Moderate,577.5
Ahmedabad,2015-06-26,66.39,0.0,8.58,12.79,21.36,,8.58,11.09,4.96,1.76,6.18,0.57,201.0,Poor,663.9
Ahmedabad,2015-06-27,62.61,0.0,9.15,9.83,18.98,,9.15,12.31,6.44,1.87,5.47,0.37,231.0,Poor,626.0999999999999
Ahmedabad,2015-06-28,47.5,0.0,8.07,9.53,17.59,,8.07,13.91,7.28,1.34,3.97,0.12,196.0,Moderate,475.0
Ahmedabad,2015-06-29,111.8,0.0,9.23,11.51,20.74,,9.23,5.27,5.99,1.84,5.69,0.28,220.0,Poor,1118.0
Ahmedabad,2015-06-30,30.0,0.0,8.87,13.59,22.64,,8.87,8.09,6.31,1.32,4.59,0.16,244.0,Poor,300.0
Ahmedabad,2015-07-01,4.66,0.0,9.01,10.9,20.36,,9.01,7.31,6.38,1.27,3.94,0.13,223.0,Poor,46.6
Ahmedabad,2015-07-02,48.72,0.0,9.56,11.94,21.5,,9.56,5.72,6.61,1.77,4.96,0.39,230.0,Poor,487.2
Ahmedabad,2015-07-03,49.7,0.0,9.43,9.81,19.23,,9.43,6.78,6.42,2.0,4.79,0.31,243.0,Poor,497.0
Ahmedabad,2015-07-04,48.1,0.0,8.03,9.53,17.57,,8.03,9.33,7.6,1.68,4.41,0.18,215.0,Poor,481.0
Ahmedabad,2015-07-05,47.43,0.0,8.11,9.45,17.56,,8.11,7.93,7.08,2.1,3.6,0.13,199.0,Moderate,474.29999999999995
Ahmedabad,2015-07-06,51.74,0.0,8.91,12.38,21.28,,8.91,10.05,5.78,2.15,3.64,0.27,200.0,Moderate,517.4
Ahmedabad,2015-07-07,42.68,0.0,9.74,11.08,20.82,,9.74,10.87,4.44,1.62,4.96,0.39,226.0,Poor,426.79999999999995
Ahmedabad,2015-07-08,38.45,0.0,10.55,7.8,18.35,,10.55,10.28,3.24,2.46,4.79,0.41,241.0,Poor,384.5
Ahmedabad,2015-07-09,46.69,0.0,11.48,0.17,11.64,,11.48,10.25,5.76,1.77,4.34,0.15,222.0,Poor,466.9
